sex,age,Pstatus,Mjob,Fjob,reason,studytime,failures,famsup,activities,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,CGPA,risk
F,21,A,at_home,teacher,course,2,0,0,0,0,0,4,3,4,1,1,3,6,3.17,1
F,20,T,at_home,other,course,2,0,1,0,1,0,5,3,3,1,1,3,4,3.82,1
F,18,T,at_home,other,other,2,3,0,0,1,0,4,3,2,2,3,3,10,5.11,0
F,18,T,health,services,home,3,0,1,1,1,1,3,2,2,1,1,5,2,7.17,0
F,19,T,other,other,home,2,0,1,0,0,0,4,3,2,1,2,5,4,5.2,0
M,19,T,services,other,reputation,2,0,1,1,1,0,5,4,2,1,2,5,10,6.87,0
M,19,T,other,other,home,2,0,0,0,1,0,4,4,4,1,1,3,0,6.06,0
F,20,A,other,teacher,home,2,0,1,0,0,0,4,1,4,1,1,1,6,4.29,1
M,18,A,services,other,home,2,0,1,0,1,0,4,2,2,1,1,1,0,8.44,0
M,18,T,other,other,home,2,0,1,1,1,0,5,5,1,1,1,5,0,6.78,0
F,18,T,teacher,health,reputation,2,0,1,0,1,0,3,3,3,1,2,2,0,5.65,1
F,18,T,services,other,reputation,3,0,1,1,1,0,5,2,2,1,1,4,4,5.74,0
M,18,T,health,services,course,1,0,1,1,1,0,4,3,3,1,3,5,2,6.61,0
M,18,T,teacher,other,course,2,0,1,0,1,0,5,4,3,1,2,3,2,5.62,0
M,18,A,other,other,home,3,0,1,0,1,1,4,5,2,1,1,3,0,7.43,0
F,19,T,health,other,home,1,0,1,0,1,0,4,4,4,1,2,2,4,7.7,0
F,19,T,services,services,reputation,3,0,1,1,1,0,3,2,3,1,2,2,6,6.75,0
F,19,T,other,other,reputation,2,0,1,1,0,0,5,3,2,1,1,4,4,5.68,0
M,20,T,services,services,course,1,3,1,1,1,0,5,5,5,2,4,5,16,3.21,1
M,19,T,health,other,home,1,0,0,1,1,0,3,1,3,1,3,5,4,5.3,0
M,18,T,teacher,other,reputation,2,0,0,0,1,0,4,4,1,1,1,1,0,6.76,0
M,18,T,health,health,other,1,0,1,0,1,0,5,4,2,1,1,5,0,6.46,0
M,19,T,teacher,other,course,2,0,0,1,1,0,4,5,1,1,3,5,2,7.11,0
M,19,T,other,other,reputation,2,0,1,1,1,0,5,4,4,2,4,5,0,5.7,0
F,18,T,services,health,course,3,0,1,1,1,0,4,3,2,1,1,5,2,4.8,1
F,19,T,services,services,home,1,2,1,0,1,0,1,2,2,1,3,5,14,4.61,1
M,18,T,other,other,home,1,0,1,0,1,0,4,2,2,1,2,5,2,5.82,0
M,18,T,health,services,other,1,0,0,0,1,0,2,2,4,2,4,1,4,6.65,0
M,19,A,services,other,home,2,0,1,1,1,0,5,3,3,1,1,5,4,5.8,0
M,19,T,teacher,teacher,home,2,0,1,1,1,1,4,4,5,5,5,5,16,5.66,0
M,18,T,health,services,home,2,0,1,0,1,0,5,4,2,3,4,5,0,5.34,0
M,18,T,services,services,reputation,2,0,1,1,1,0,4,3,1,1,1,5,0,7.93,0
M,18,T,teacher,at_home,course,2,0,1,1,1,1,4,5,2,1,1,5,0,7.6,0
M,18,T,other,other,course,2,0,0,1,1,0,5,3,2,1,1,2,0,5.56,0
M,19,T,other,other,home,1,0,1,0,1,0,5,4,3,1,1,5,0,6.45,0
F,18,T,other,other,other,1,0,1,1,0,0,3,5,1,1,1,5,0,4.42,1
M,18,T,teacher,services,home,3,0,1,1,1,0,5,4,3,1,1,4,2,7.62,0
M,19,A,other,teacher,reputation,3,0,1,1,1,1,2,4,3,1,1,5,7,7.12,0
F,18,T,services,health,course,3,0,1,1,1,0,4,3,2,1,1,5,2,5.82,0
F,18,T,at_home,other,reputation,1,0,1,1,0,0,4,3,1,1,1,2,8,6.59,0
F,19,T,other,other,home,2,1,1,1,1,1,3,3,3,1,2,3,25,5,0
M,18,T,teacher,other,home,1,0,1,0,1,1,5,4,3,2,4,5,8,5.68,0
M,18,T,services,teacher,course,2,0,1,1,1,0,4,3,3,1,1,5,2,8.29,0
M,18,T,services,services,course,1,0,1,0,1,0,5,4,1,1,1,1,0,4.65,0
F,19,T,other,at_home,course,2,1,0,1,1,0,4,3,3,2,2,5,14,5.06,1
F,18,A,other,other,course,2,0,1,1,1,1,5,2,2,1,1,5,8,4.43,1
F,19,A,other,services,home,2,0,1,0,1,0,2,3,5,1,4,3,12,5.98,0
M,19,T,health,services,reputation,4,0,0,1,1,0,4,2,2,1,1,2,4,9.12,0
M,18,T,teacher,other,home,2,0,1,0,0,0,4,3,3,2,2,5,2,6.69,0
F,18,T,services,teacher,other,2,1,1,1,1,0,4,4,4,1,1,3,2,4.75,1
F,19,T,services,services,course,2,0,1,0,1,0,4,3,3,2,3,4,2,6.5,0
F,18,T,health,other,other,2,0,1,0,1,0,4,3,3,1,1,5,2,6.87,0
M,18,A,health,health,other,1,1,0,0,0,0,5,5,5,3,4,5,6,5.02,0
F,18,T,services,services,course,1,0,1,0,1,0,3,3,4,2,3,5,0,5.47,0
F,18,A,other,other,other,1,0,0,0,1,0,5,3,4,4,4,1,6,6.17,0
F,19,A,other,other,other,2,0,0,1,1,1,5,3,4,1,1,2,8,5.28,0
F,18,A,services,services,reputation,2,0,1,1,1,0,4,3,2,1,1,1,0,7.33,0
M,18,T,teacher,health,reputation,2,0,1,1,0,0,3,2,2,1,1,5,4,7.48,0
M,18,T,other,at_home,home,2,0,1,1,1,0,4,3,2,1,1,5,2,5.68,1
F,19,T,services,other,course,2,0,1,0,1,0,4,2,3,1,1,5,2,7.83,0
F,19,T,health,teacher,other,2,0,1,1,0,0,2,4,4,2,3,4,6,6.66,0
F,19,T,services,services,course,1,0,1,1,1,1,5,5,5,5,5,5,6,5.33,0
F,19,T,other,services,reputation,2,0,0,1,1,0,4,4,3,1,1,1,4,5.23,1
F,19,T,teacher,health,home,3,0,1,1,1,0,3,4,4,2,4,4,2,5.6,1
F,18,T,services,services,reputation,2,0,0,1,1,1,4,4,4,2,4,2,0,5.55,0
F,19,T,teacher,services,course,2,0,1,1,1,0,5,4,3,1,2,1,2,7.73,0
M,18,A,other,services,reputation,4,0,1,1,1,1,1,3,3,5,5,3,4,6.09,0
F,19,T,services,other,course,4,0,1,0,1,0,4,3,3,1,2,5,4,4.03,1
F,18,T,health,services,reputation,2,0,1,0,1,0,4,1,3,1,3,4,2,4.71,1
F,18,T,other,other,reputation,4,0,1,0,1,0,4,4,2,2,3,3,12,7.76,0
M,19,T,other,other,reputation,4,0,1,0,1,0,4,3,2,1,1,5,0,6.56,0
M,18,T,other,other,course,4,0,0,0,1,0,3,3,3,1,1,3,0,5,0
F,18,T,other,other,reputation,2,2,1,0,1,1,3,3,4,2,4,5,2,4.41,1
M,19,T,other,other,reputation,1,0,0,1,0,0,5,3,2,2,2,5,2,6.48,0
F,19,T,other,services,home,2,0,1,1,1,0,4,3,3,2,4,5,54,5.59,0
M,18,T,teacher,other,home,2,0,1,1,1,0,4,3,3,2,3,5,6,5.05,0
M,18,T,teacher,other,course,4,0,0,1,1,0,3,4,3,1,1,1,8,5.49,0
F,19,T,other,other,reputation,4,0,0,0,1,1,5,2,3,1,3,3,0,5.96,0
M,20,T,other,other,home,1,3,1,1,1,0,4,5,1,1,1,3,2,4.48,0
F,19,T,at_home,other,course,2,0,1,0,1,0,2,4,3,1,2,3,12,3.98,1
M,18,T,other,services,course,1,0,1,1,1,1,3,2,2,1,3,3,2,5.67,0
M,18,T,other,other,home,3,0,0,0,1,0,5,3,2,1,2,5,4,5.02,0
F,18,T,services,other,reputation,2,0,1,0,1,0,4,4,4,1,1,5,10,4.33,1
M,18,T,services,services,home,2,0,0,1,1,0,5,3,3,1,3,4,4,6.95,0
F,18,T,other,other,home,2,0,1,1,1,0,4,3,2,2,3,4,2,5.46,0
F,18,T,services,services,reputation,2,2,0,0,1,1,4,4,4,2,3,5,6,4.86,1
F,19,T,at_home,other,course,2,0,1,0,0,0,4,3,4,1,2,2,4,4.59,1
F,18,T,other,other,reputation,3,0,1,1,1,0,5,3,3,1,3,1,4,7.15,0
M,19,T,services,other,reputation,2,1,0,1,1,0,4,4,2,1,1,3,12,5.32,0
M,19,A,teacher,health,reputation,2,0,1,0,0,0,4,1,3,3,5,5,18,4.02,1
F,19,T,other,other,home,3,0,1,0,1,1,4,3,3,1,3,4,0,4.35,1
F,18,T,services,other,reputation,1,0,0,1,1,0,4,5,5,1,3,1,4,7.65,0
F,19,T,other,other,home,2,0,1,0,0,0,3,3,3,2,3,2,4,4.56,1
F,19,T,teacher,services,home,2,0,1,1,1,0,5,3,3,1,1,1,0,5.93,0
M,18,T,services,health,reputation,4,0,1,1,1,0,4,3,4,1,1,4,6,6.1,0
F,18,T,at_home,other,home,4,1,1,1,1,0,3,1,2,1,1,1,2,5.45,0
M,19,T,services,other,reputation,1,0,1,1,1,0,3,3,3,1,1,4,2,6.06,0
F,19,T,other,other,course,2,0,1,0,0,1,4,3,5,1,1,5,2,5.29,0
F,19,T,other,other,reputation,1,0,0,1,1,0,5,3,4,1,2,1,6,6.43,0
F,19,T,other,at_home,course,3,0,1,0,1,0,5,3,5,1,1,3,0,5.09,1
M,19,T,services,services,other,1,0,1,1,1,0,4,5,5,5,5,4,14,3.71,1
M,19,T,services,teacher,other,3,0,1,1,1,1,4,4,3,1,1,4,0,8.18,0
M,18,T,services,other,course,1,0,1,1,1,0,5,3,3,1,1,5,4,6.18,0
F,18,T,services,other,home,2,0,1,0,1,0,4,3,5,1,1,2,26,4.1,1
M,18,A,services,other,course,2,0,1,1,1,0,5,4,4,1,1,1,0,8.36,0
F,18,A,other,health,reputation,4,0,0,0,0,0,4,3,3,1,1,4,10,5.18,0
F,18,T,other,other,course,4,0,1,0,1,0,5,1,2,1,1,3,8,4.38,1
M,19,T,services,other,home,3,0,1,1,1,0,5,3,3,1,1,5,2,7.81,0
